i,site
1773,212-106061
1314,212-106091
1478,212-106419
1398,212-106463
1096,213-106538
1544,213-106546
564,213-106679
1441,213-106707
1336,213-106811
1675,214-107002
385,214-107016
1548,214-107078
163,214-107119
1525,214-107144
986,214-107198
1279,214-107219
98,214-107256
1511,214-107362
1166,214-107378
43,214-107418
1504,214-107463
1178,2-1411
1527,2-1434
797,2-1440
1651,2-1464
1491,215-107621
1403,215-107630
139,215-107636
598,215-107643
123,215-107720
884,215-107721
267,215-107758
475,215-107773
1895,215-107818
1435,215-107974
622,215-107984
154,216-108123
1787,216-108186
1002,216-108189
993,216-108227
1533,216-108399
961,217-108541
890,217-108634
1821,217-108639
1081,217-108663
915,217-108664
1391,217-108703
687,217-108743
651,217-108809
226,218-109025
1246,218-109044
1393,218-109091
485,218-109099
1172,218-109115
1258,218-109154
1731,218-109162
1372,218-109237
269,218-109272
1748,218-109315
1049,218-109372
179,218-109413
1046,218-109458
709,218-109475
1349,219-109630
1852,219-109634
342,219-109721
760,219-109799
1828,219-109845
1976,219-109980
711,220-110031
184,220-110283
1340,220-110291
1048,220-110314
821,220-110420
1197,22-11001
1529,22-11005
1871,22-11040
710,221-110526
705,221-110606
415,221-110650
1242,221-110722
68,221-110829
1917,221-110876
729,221-110916
1551,221-110923
658,221-110945
1946,221-110946
1563,221-110955
641,221-110985
308,22-11141
227,22-11160
487,22-11300
1957,22-11353
277,22-11385
398,22-11407
435,222-111040
1639,222-111097
202,222-111147
1234,222-111421
370,223-111553
557,223-111559
551,223-111574
526,223-111738
1114,223-111814
1209,223-111819
894,223-111820
1885,223-111938
57,224-112107
216,224-112126
683,224-112272
5,224-112317
430,224-112331
786,225-112534
138,225-112559
1381,225-112612
1518,225-112725
1801,225-112844
1916,226-113102
1052,226-113291
1912,226-113349
1825,226-113391
363,226-113427
146,227-113712
949,227-113737
1739,227-113857
1573,227-113985
365,228-114057
1780,228-114070
1940,228-114106
1156,228-114152
266,228-114247
1771,228-114297
1250,228-114358
1436,228-114366
56,228-114381
35,228-114476
362,229-114549
1261,229-114662
132,229-114735
1317,229-114785
1514,229-114799
1688,229-114829
490,229-114902
1586,229-114914
827,229-114915
0,229-114934
650,230-115035
847,230-115099
1179,230-115109
795,230-115132
1600,230-115156
494,230-115278
942,230-115352
1695,230-115363
499,230-115383
595,230-115400
1283,230-115424
1415,230-115461
245,230-115463
1189,231-115518
1472,231-115538
175,231-115584
332,231-115665
26,231-115678
1325,231-115872
1106,231-115914
1476,23-11611
192,23-11614
1809,23-11622
1447,23-11663
1388,23-11682
1182,232-116028
945,232-116068
1963,232-116093
603,232-116120
1264,232-116130
281,232-116136
9,232-116268
87,232-116286
756,232-116304
1734,232-116437
1499,232-116451
1597,233-116558
1587,233-116577
1301,233-116635
850,233-116721
343,233-116851
452,233-116872
92,233-116937
619,233-116981
1698,234-117051
1902,234-117070
24,234-117113
988,234-117147
1208,234-117152
1350,234-117316
1909,234-117373
1215,234-117384
168,234-117412
1578,234-117436
749,234-117461
1107,234-117467
1186,234-117492
1588,235-117512
1906,235-117534
101,235-117566
1137,235-117617
1992,235-117662
1084,235-117682
1861,235-117687
1785,235-117710
1214,235-117718
299,235-117724
1956,235-117737
377,235-117768
1750,235-117844
1425,235-117884
1339,236-118129
200,236-118136
1018,236-118394
1401,236-118498
450,237-118555
1031,237-118566
462,237-118646
723,237-118829
866,237-118836
265,237-118881
1450,237-118895
1413,237-118956
1951,238-119081
1984,238-119213
1374,238-119249
482,238-119295
1905,238-119301
922,238-119315
1035,238-119336
129,238-119354
612,239-119534
1833,239-119683
1982,239-119702
628,239-119828
1632,239-119838
860,239-119860
1486,239-119908
958,240-120023
955,240-120032
77,240-120053
326,240-120085
1320,240-120292
1528,240-120304
639,240-120318
610,240-120368
134,240-120384
1310,240-120422
82,241-120599
451,241-120736
1929,241-120810
1488,241-120812
1810,241-120814
646,241-120835
690,241-120955
463,241-120960
699,24-12032
62,24-12037
173,24-12045
1926,24-12059
315,24-12109
1384,24-12166
311,24-12187
1202,24-12373
1462,24-12376
1220,24-12478
1318,242-121145
1842,242-121153
563,242-121210
1015,242-121254
544,242-121263
839,242-121381
1419,242-121424
1973,242-121495
1869,243-121501
1751,243-121619
1198,243-121696
459,243-121701
1145,243-121735
1606,243-121759
1791,243-121788
65,243-121796
799,243-121860
1836,243-121866
1594,243-121979
212,244-122021
402,244-122056
1899,244-122263
1221,244-122302
848,244-122344
1236,244-122428
987,245-122510
1513,245-122574
1217,245-122608
1897,245-122653
1765,245-122662
294,245-122685
1361,245-122724
742,245-122734
880,245-122750
1704,245-122787
1408,245-122808
1656,245-122809
1708,246-123047
1523,246-123071
1034,246-123376
1736,246-123385
1714,246-123397
1854,246-123408
1016,246-123429
1072,246-123497
1934,247-123510
1129,247-123531
156,247-123742
776,247-123759
1248,247-123845
916,247-123898
240,247-123989
416,248-124036
1624,248-124052
1611,248-124078
1870,248-124110
1356,248-124127
1213,248-124291
1167,248-124451
1288,248-124452
1672,248-124461
437,248-124480
1379,249-124511
1494,249-124590
21,249-124673
1811,249-124736
1550,249-124834
1442,249-124899
1025,249-124952
18,249-124956
937,250-125028
1222,250-125177
1738,250-125264
1117,250-125315
924,250-125350
1786,250-125440
1792,250-125487
441,251-125500
177,251-125501
1652,251-125525
919,251-125569
895,251-125662
1173,251-125835
1323,251-125876
1891,25-12586
292,25-12751
357,25-12765
693,25-12851
1373,25-12912
783,25-12956
3,252-126026
1093,252-126066
1037,252-126104
548,252-126105
615,252-126115
1538,252-126146
1596,252-126165
960,252-126168
1443,252-126183
410,252-126253
1369,252-126255
155,252-126414
1613,253-126521
662,253-126580
1517,253-126607
906,26-13229
444,26-13255
1148,26-13257
954,26-13270
1239,26-13291
208,26-13381
957,26-13429
1952,26-13469
849,26-13485
106,27-13684
1718,27-13695
34,27-13824
1570,28-14000
695,28-14053
95,28-14148
472,28-14181
1171,28-14194
1579,28-14197
285,28-14201
1501,28-14239
611,28-14341
72,29-14569
180,29-14572
992,29-14623
1921,29-14705
1843,29-14775
875,29-14847
524,29-14939
1621,29-14966
735,30-15078
680,30-15235
381,30-15301
427,30-15427
1776,31-15508
412,31-15515
1762,31-15551
1615,31-15619
968,31-15662
842,31-15729
118,31-15754
1845,31-15814
457,31-15945
1962,3-1524
511,3-1658
887,3-1686
1562,3-1725
778,3-1765
1121,3-1805
1667,3-1862
1941,3-1871
816,3-1931
739,3-1957
1143,32-16067
354,32-16151
8,32-16207
93,32-16239
53,32-16261
1254,32-16338
73,32-16458
669,32-16488
722,33-16661
1711,33-16735
1561,33-16748
99,33-16757
380,33-16810
375,33-16861
251,33-16881
581,33-16920
1270,34-17087
1110,34-17184
1247,34-17211
1779,34-17264
300,34-17437
1758,35-17702
460,35-17768
796,35-17820
1473,35-17871
1706,35-17894
1327,35-17991
1218,36-18048
1838,36-18194
1707,36-18308
762,36-18404
1658,36-18436
1500,36-18442
1475,36-18444
107,36-18475
1806,36-18490
634,37-18544
413,37-18679
1958,37-18693
820,37-18742
761,37-18747
250,37-18786
480,37-18798
394,37-18921
178,38-19125
1898,38-19198
1682,38-19244
442,38-19264
1155,38-19339
1767,38-19381
1571,38-19407
1351,38-19460
1859,39-19580
1330,39-19626
1061,39-19686
236,39-19700
807,39-19709
1819,39-19732
210,39-19739
144,39-19933
1292,40-20016
863,40-20113
258,40-20210
423,40-20253
1422,40-20310
1543,40-20464
708,41-20576
436,41-20580
307,41-20608
685,41-20623
1304,41-20837
260,41-20913
264,41-20964
1959,4-2005
755,4-2095
1194,4-2115
1050,42-21020
1964,42-21187
896,42-21225
1095,42-21249
1170,42-21367
1112,42-21410
642,42-21452
1190,4-2266
1637,4-2267
801,4-2456
1116,43-21506
1359,43-21549
1397,43-21815
1300,43-21858
27,43-21866
1970,43-21867
1126,43-21960
1539,43-21969
980,43-21971
791,43-21974
1856,44-22007
1120,44-22043
1269,44-22104
1721,44-22302
1813,44-22336
617,44-22345
1581,44-22386
802,44-22445
1663,45-22623
1427,45-22667
516,45-22771
1471,45-22790
1598,45-22881
549,45-22886
1685,45-22969
1556,46-23018
1311,46-23094
1429,46-23095
1022,46-23121
279,46-23134
1458,46-23212
1583,46-23234
414,46-23301
1635,46-23329
1617,46-23350
964,46-23353
1744,46-23473
1428,47-23526
1694,47-23544
176,47-23573
614,47-23611
1299,47-23633
744,47-23706
498,47-23708
1346,47-23713
1091,47-23718
289,47-23770
1188,47-23812
1337,47-23930
754,47-23989
1097,48-24032
1733,48-24061
1559,48-24100
1376,48-24103
1085,48-24204
1132,48-24222
558,48-24355
599,48-24420
1271,48-24469
1344,49-24619
678,49-24632
1068,49-24744
571,49-24797
976,49-24811
691,49-24911
1889,50-25005
1829,50-25062
1421,50-25353
1124,50-25408
504,50-25473
1846,51-25554
625,51-25761
766,51-25929
1043,52-26046
1440,52-26124
1805,52-26177
147,52-26218
972,52-26248
1321,52-26290
1884,52-26300
1094,52-26317
316,52-26329
1677,52-26347
1873,52-26363
861,52-26368
137,52-26385
1296,52-26428
1830,5-2594
453,5-2730
1007,5-2767
1790,5-2789
1019,5-2794
629,5-2819
1263,5-2820
272,5-2985
525,53-26505
1280,53-26793
554,53-26880
2,53-26908
1105,53-26985
1328,54-27015
1987,54-27096
353,54-27123
1482,54-27154
1800,54-27181
1770,54-27233
19,54-27284
1938,54-27404
186,54-27407
1152,54-27412
1803,55-27562
1377,55-27733
1168,55-27789
1075,56-28026
1920,56-28099
1319,56-28103
1591,56-28238
1687,56-28249
268,56-28264
1554,56-28371
1245,56-28374
1249,56-28498
1285,57-28555
364,57-28589
1980,57-28636
733,57-28637
1564,57-28651
1911,57-28674
1407,57-28699
926,57-28715
1205,57-28849
1111,57-28910
378,57-28915
221,57-28961
862,57-28974
1297,58-29088
989,58-29193
1226,58-29261
1370,58-29297
464,58-29355
392,58-29427
367,58-29453
780,58-29485
798,59-29598
602,59-29647
1534,59-29719
1078,59-29725
1560,59-29797
15,59-29806
1601,59-29866
771,59-29876
1102,59-29962
1660,59-29964
1229,60-30115
1184,60-30140
247,60-30221
1683,60-30247
879,60-30249
1394,60-30254
1914,60-30407
1618,60-30421
1888,60-30423
96,60-30443
1076,60-30480
1357,60-30484
950,61-30585
1700,61-30658
1322,61-30670
815,61-30811
1004,61-30940
320,62-31080
627,62-31085
1686,62-31089
228,62-31178
263,62-31240
1175,62-31268
1565,62-31278
606,62-31321
48,62-31457
1502,62-31461
692,62-31469
764,6-3056
503,6-3133
889,6-3178
582,6-3246
1607,6-3278
89,63-31502
1430,63-31537
1835,63-31617
1541,63-31652
518,63-31806
973,6-3362
881,64-32007
1470,64-32010
981,64-32067
1872,64-32075
560,64-32120
1212,64-32141
1386,64-32195
1180,64-32229
1848,64-32338
1150,64-32345
1759,64-32397
97,64-32418
125,64-32471
1424,65-32529
696,65-32628
874,65-32686
1699,65-32695
777,65-32714
1477,65-32735
6,65-32810
164,65-32866
356,65-32966
153,66-33008
1840,66-33083
867,66-33173
1109,66-33213
262,66-33308
1604,66-33371
478,66-33470
1807,67-33549
686,67-33593
905,67-33687
899,67-33768
409,67-33789
418,67-33888
1153,67-33946
572,68-34105
359,68-34143
1764,68-34305
1418,68-34393
1689,68-34478
904,69-34508
1948,69-34536
1210,69-34585
1998,69-34653
1290,69-34702
810,69-34808
1506,69-34931
1661,69-34958
1062,69-34979
664,70-35010
1702,70-35052
1017,70-35085
145,70-35094
1033,70-35282
80,70-35337
290,70-35384
349,70-35467
1808,71-35571
1115,71-35587
1445,71-35595
366,71-35634
569,71-35664
1509,71-35701
1703,71-35773
1474,71-35812
1118,71-35870
1580,71-35880
248,71-35900
1761,71-35913
360,71-35945
1540,72-36023
167,72-36102
1802,72-36104
1257,72-36157
1224,72-36259
166,72-36260
407,72-36359
1492,72-36367
1487,72-36471
371,72-36475
468,73-36607
579,73-36627
1160,73-36671
649,73-36678
1907,73-36746
1722,73-36767
1636,73-36810
181,73-36887
790,73-36895
994,73-36896
238,73-36916
609,73-36962
979,73-36999
840,7-3736
1406,7-3914
1206,7-3981
553,7-3982
1032,74-37060
829,74-37061
501,74-37216
1774,74-37339
386,74-37389
535,74-37422
1566,74-37463
355,75-37542
1183,75-37557
1849,75-37632
328,75-37677
1266,75-37719
1725,75-37798
1030,75-37934
682,75-37953
724,76-38090
160,76-38149
489,76-38269
1130,76-38373
20,76-38395
897,76-38459
422,76-38482
222,77-38534
443,77-38574
419,77-38662
1385,77-38685
1507,77-38698
885,77-38745
1650,77-38841
1268,77-38868
1654,77-38911
1908,77-38938
713,77-38939
1332,78-39065
466,78-39080
1555,78-39164
411,78-39193
161,78-39291
1412,78-39330
1730,78-39351
1531,78-39455
1003,79-39541
803,79-39555
1420,79-39640
750,79-39661
1719,79-39721
1360,79-39785
1067,79-39805
990,79-39833
1080,79-39883
323,79-39924
574,80-40008
1000,80-40013
1227,80-40096
1338,80-40213
1055,80-40251
1915,80-40255
873,80-40395
182,80-40428
1749,80-40479
689,81-40513
1277,81-40637
389,81-40650
1135,81-40736
665,81-40899
784,82-41040
484,82-41045
1901,82-41169
103,82-41221
679,82-41255
1892,82-41266
765,82-41306
726,82-41405
959,83-41500
1697,83-41692
1324,83-41744
39,83-41779
433,83-41816
661,83-41863
1256,83-41934
1176,8-4001
1460,8-4026
204,8-4192
605,8-4239
41,8-4242
1815,8-4262
44,8-4352
1904,8-4370
531,8-4380
977,8-4394
234,84-42039
1438,84-42042
301,84-42299
1737,84-42338
1516,84-42393
948,8-4426
517,8-4485
935,85-42571
1693,85-42607
1255,85-42621
792,85-42865
218,85-42871
536,85-42881
214,85-42884
737,85-42999
1999,86-43097
382,86-43478
638,87-43594
943,87-43652
1157,87-43654
1535,87-43707
190,87-43771
793,87-43878
519,87-43947
1729,88-44015
656,88-44085
1169,88-44112
831,88-44140
1950,88-44173
278,88-44194
55,88-44201
1834,88-44274
500,88-44462
1326,88-44475
4,89-44612
1755,89-44774
806,89-44827
1519,89-44957
439,89-44958
600,89-44990
1640,90-45083
286,90-45238
530,90-45264
105,90-45391
621,90-45397
296,90-45404
757,91-45526
506,91-45541
1341,91-45555
502,91-45721
333,91-45733
727,91-45802
901,91-45848
1712,92-46270
587,92-46278
1448,92-46285
421,92-46448
541,93-46514
122,93-46555
835,93-46676
938,93-46677
966,93-46719
1225,93-46720
243,93-46888
1996,94-47252
209,94-47304
259,94-47340
1409,94-47346
1882,94-47420
1122,94-47441
428,94-47448
256,94-47453
1140,9-4557
85,9-4582
1893,9-4609
1798,9-4838
1753,9-4874
1777,9-4908
217,9-4915
1649,9-4924
140,95-47590
1045,95-47636
37,95-47864
1823,95-47910
1599,95-47948
194,95-47983
507,96-48031
1065,96-48072
345,96-48164
1997,96-48351
1342,97-48628
1681,97-48633
645,97-48660
1532,97-48671
1144,97-48677
1278,97-48709
1026,97-48767
79,97-48881
348,98-49048
1392,98-49140
883,98-49168
592,98-49241
618,98-49342
573,98-49396
1536,98-49416
1633,98-49471
1141,98-49485
781,99-49582
1101,99-49757
1521,99-49793
252,99-49813
1878,99-49830
1316,99-49884
800,99-49915
